presentDay,presentTime,itrm_id,goodsName,shopName,price,price_ave,monthly_sales,comments,miaoshu,fuwu,wuliu,productDescription,seller,info,remarks
2016-08-13,12:45:48,531261904145,海青蓝2016夏季新款欧美印花时尚大摆裙圆领短袖高腰连衣裙女4751,海青蓝旗舰店,328.00,,154笔,124,4.8,4.7,4.7,"
材质成分: 聚酯纤维100%
货号: C16XQ4751
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 绑带 拉链 印花
品牌: CYANINE SEA/海青蓝
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 花色
尺码: S M L XL

","
卖家信息




						海青蓝旗舰店
												
5
天猫5年店




当前主营： 服饰鞋包
所在地区：深圳 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共68079人
						



91.22%




4.53%




1.93%




0.74%




1.57%






卖家的服务态度：
4.7分
										9.58%





4.7分
							共68079人
						



88.93%




6.06%




2.15%




0.87%




1.99%






物流服务的质量：
4.7分
										11.08%





4.7分
							共68079人
						



88.80%




6.14%




2.20%




0.85%




2.02%




",
2016-08-13,12:45:48,533038777599,星诺2016夏季新款长裙复古一字肩森女系牛仔棉麻连衣裙中长款裙子,星诺旗舰店,198.00,,154笔,82,4.9,4.8,4.8,"
材质成分: 棉95% 亚麻5%
货号: A1600621
风格: 甜美
甜美: 森女
组合形式: 单件
裙长: 长裙
款式: 裹胸
袖长: 短袖
领型: 一字领
袖型: 花瓣袖
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 纯色
流行元素/工艺: 蝴蝶结 系带 绑带
品牌: 星诺
面料: 牛仔布
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 蓝色
尺码: S M L XL

","
卖家信息




						星诺旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：广州 



","


宝贝与描述相符：
4.9分
										42.70%





4.9分
							共24057人
						



94.66%




2.93%




1.27%




0.49%




0.65%






卖家的服务态度：
4.8分
										55.93%





4.8分
							共24057人
						



93.60%




4.21%




1.25%




0.30%




0.65%






物流服务的质量：
4.8分
										52.97%





4.8分
							共24057人
						



93.36%




4.10%




1.36%




0.36%




0.82%




","
""tags"":{""dimenSum"":10,""rateSum"":130,""tagClouds"":[{""count"":27,""id"":""522"",""posi"":true,""tag"":""版型好看"",""weight"":0},{""count"":26,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":15,""id"":""422"",""posi"":true,""tag"":""款式漂亮"",""weight"":0},{""count"":13,""id"":""1822"",""posi"":true,""tag"":""穿着效果好"",""weight"":0},{""count"":13,""id"":""1722"",""posi"":true,""tag"":""衣服很舒服"",""weight"":0},{""count"":11,""id"":""10120"",""posi"":true,""tag"":""服务态度好"",""weight"":0},{""count"":9,""id"":""322"",""posi"":true,""tag"":""颜色挺正"",""weight"":0},{""count"":6,""id"":""520"",""posi"":true,""tag"":""很便宜"",""weight"":0},{""count"":6,""id"":""922"",""posi"":true,""tag"":""做工很赞"",""weight"":0},{""count"":4,""id"":""10420"",""posi"":true,""tag"":""发货快"",""weight"":0}]}"
2016-08-13,12:45:48,530609062541,卡洛莱2016夏季女装新款短袖一步裙韩版时尚修身中长裙网纱连衣裙,卡洛莱旗舰店,178.00,,154笔,198,4.8,4.7,4.7,,"
卖家信息




						卡洛莱旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共37495人
						



91.68%




3.25%




2.05%




0.93%




2.09%






卖家的服务态度：
4.7分
										1.00%





4.7分
							共37493人
						



86.86%




5.79%




2.98%




1.36%




3.01%






物流服务的质量：
4.7分
										0.61%





4.7分
							共37493人
						



87.40%




5.62%




2.76%




1.34%




2.89%




","
""tags"":{""dimenSum"":9,""rateSum"":224,""tagClouds"":[{""count"":55,""id"":""620"",""posi"":true,""tag"":""质量蛮好"",""weight"":0},{""count"":43,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":41,""id"":""522"",""posi"":true,""tag"":""版型漂亮"",""weight"":0},{""count"":23,""id"":""222"",""posi"":true,""tag"":""大小合适"",""weight"":0},{""count"":16,""id"":""420"",""posi"":true,""tag"":""快递不错"",""weight"":0},{""count"":16,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":12,""id"":""422"",""posi"":true,""tag"":""款式很潮"",""weight"":0},{""count"":9,""id"":""622"",""posi"":true,""tag"":""衣服厚实"",""weight"":0},{""count"":9,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0}]}"
2016-08-13,12:45:48,528949227614,艺元素2016夏装新品时尚优雅拼接欧根纱气质夏连衣裙短袖中长款,艺元素旗舰店,266.00,,154笔,479,4.8,4.8,4.8,"
廓形: O型
材质成分: 聚酯纤维100%
货号: E6CED047
风格: 通勤
通勤: 淑女
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: 其他
图案: 条纹
流行元素/工艺: 口袋 拼接
品牌: LEVU’SU/艺元素
面料: 欧根纱
适用年龄: 25-29周岁
年份季节: 2016年春季
颜色分类: 藏青T5
尺码: S M L XL

","
卖家信息




						艺元素旗舰店
												
7
天猫7年店




当前主营： 服饰鞋包
所在地区：上海 



","


宝贝与描述相符：
4.8分
										30.64%





4.8分
							共45446人
						



92.57%




5.07%




1.29%




0.38%




0.69%






卖家的服务态度：
4.8分
										39.57%





4.8分
							共45446人
						



90.91%




6.47%




1.30%




0.39%




0.94%






物流服务的质量：
4.8分
										42.97%





4.8分
							共45446人
						



91.00%




6.46%




1.34%




0.35%




0.84%




","
""tags"":{""dimenSum"":8,""rateSum"":418,""tagClouds"":[{""count"":100,""id"":""620"",""posi"":true,""tag"":""质量好"",""weight"":0},{""count"":78,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":59,""id"":""522"",""posi"":true,""tag"":""式样好"",""weight"":0},{""count"":54,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":46,""id"":""222"",""posi"":true,""tag"":""尺码很好"",""weight"":0},{""count"":44,""id"":""422"",""posi"":true,""tag"":""款式蛮好"",""weight"":0},{""count"":19,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0},{""count"":18,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0}]}"
2016-08-13,12:45:48,44850099619,七七之缘夏季新款女装韩版 印花前短后长燕尾雪纺礼裙长裙连衣裙,七七之缘服饰旗舰店,188.00,,154笔,575,4.8,4.7,4.7,"
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: QA5Q53
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 拉链
裙型: 大摆型
图案: 花色
流行元素/工艺: 荷叶边 抽褶 褶皱 拼接 波浪 拉链 3D 印花
品牌: 七七之缘
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2015年夏季
颜色分类: 花色
尺码: S M L XL

","
卖家信息




						七七之缘服饰旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：惠州市 



","


宝贝与描述相符：
4.8分
										13.43%





4.8分
							共26387人
						



92.06%




4.23%




1.97%




0.72%




1.02%






卖家的服务态度：
4.7分
										2.60%





4.7分
							共26387人
						



87.25%




7.33%




2.74%




1.02%




1.67%






物流服务的质量：
4.7分
										----





4.7分
							共26387人
						



86.03%




7.49%




3.22%




1.20%




2.06%




","
""tags"":{""dimenSum"":10,""rateSum"":252,""tagClouds"":[{""count"":67,""id"":""522"",""posi"":true,""tag"":""式样好"",""weight"":0},{""count"":57,""id"":""620"",""posi"":true,""tag"":""衣服不错"",""weight"":0},{""count"":34,""id"":""1822"",""posi"":true,""tag"":""穿着效果好"",""weight"":0},{""count"":24,""id"":""1722"",""posi"":true,""tag"":""衣服很舒服"",""weight"":0},{""count"":16,""id"":""10120"",""posi"":true,""tag"":""服务态度好"",""weight"":0},{""count"":12,""id"":""420"",""posi"":true,""tag"":""快递不错"",""weight"":0},{""count"":12,""id"":""122"",""posi"":true,""tag"":""布料好"",""weight"":0},{""count"":11,""id"":""222"",""posi"":true,""tag"":""尺码很好"",""weight"":0},{""count"":10,""id"":""422"",""posi"":true,""tag"":""款式好"",""weight"":0},{""count"":9,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0}]}"
2016-08-13,12:45:48,528591298446,LTVVY2016夏季新款连衣裙韩版女装性感蕾丝立体花透视无袖包臀裙,ltvvy旗舰店,178.00,,154笔,76,4.8,4.7,4.7,"
廓形: X型
材质成分: 聚酯纤维95% 聚氨酯弹性纤维(氨纶)5%
销售渠道类型: 纯电商(只在线上销售)
货号: VL9771
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 其他
腰型: 高腰
衣门襟: 拉链
裙型: 一步裙
图案: 纯色
流行元素/工艺: 绣花 纽扣 纱网 拉链 蕾丝
品牌: LTVVY
面料: 蕾丝
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 粉色 绿色
尺码: S M L

","
卖家信息




						ltvvy旗舰店
												


当前主营： 服饰鞋包
所在地区：杭州 



","


宝贝与描述相符：
4.8分
										19.42%





4.8分
							共6072人
						



92.72%




3.89%




1.68%




0.69%




1.02%






卖家的服务态度：
4.7分
										8.24%





4.7分
							共6072人
						



88.37%




6.65%




2.19%




0.94%




1.84%






物流服务的质量：
4.7分
										10.42%





4.7分
							共6072人
						



88.46%




6.34%




2.47%




0.91%




1.83%




","
""tags"":{""dimenSum"":9,""rateSum"":84,""tagClouds"":[{""count"":24,""id"":""522"",""posi"":true,""tag"":""版型好"",""weight"":0},{""count"":17,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":10,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":9,""id"":""222"",""posi"":true,""tag"":""尺寸很准"",""weight"":0},{""count"":7,""id"":""10120"",""posi"":true,""tag"":""服务好"",""weight"":0},{""count"":6,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":5,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":3,""id"":""520"",""posi"":true,""tag"":""便宜"",""weight"":0},{""count"":3,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0}]}"
2016-08-13,12:45:48,534270258732,戚米夏季女装牛仔裙背带连衣裙中长款连体裙子女裙2016新款潮夏装,戚米旗舰店,65.00,,154笔,88,4.8,4.7,4.7,"
廓形: H型
材质成分: 聚酯纤维50% 棉30% 粘胶纤维(粘纤)20%
销售渠道类型: 纯电商(只在线上销售)
货号: QM606213
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 背带
袖长: 无袖
领型: 其他
腰型: 高腰
衣门襟: 套头
裙型: 其他
图案: 纯色
流行元素/工艺: 背带裙
品牌: 戚米
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 牛仔蓝
尺码: 均码-预售五天 均码

","
卖家信息




						戚米旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：嘉兴市 



","


宝贝与描述相符：
4.8分
										5.78%





4.8分
							共568272人
						



92.16%




3.61%




2.03%




0.78%




1.41%






卖家的服务态度：
4.7分
										1.93%





4.7分
							共568272人
						



87.44%




7.03%




2.77%




0.92%




1.85%






物流服务的质量：
4.7分
										1.99%





4.7分
							共568272人
						



87.23%




6.97%




2.93%




1.00%




1.87%




","
""tags"":{""dimenSum"":10,""rateSum"":80,""tagClouds"":[{""count"":28,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":13,""id"":""522"",""posi"":true,""tag"":""板型很好"",""weight"":0},{""count"":6,""id"":""222"",""posi"":true,""tag"":""码子很准"",""weight"":0},{""count"":5,""id"":""322"",""posi"":true,""tag"":""色彩很好"",""weight"":0},{""count"":5,""id"":""520"",""posi"":true,""tag"":""很划算"",""weight"":0},{""count"":5,""id"":""720"",""posi"":true,""tag"":""和描述一致"",""weight"":0},{""count"":5,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":5,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":4,""id"":""10420"",""posi"":true,""tag"":""发货快"",""weight"":0},{""count"":4,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0}]}"
2016-08-13,12:45:48,534917359381,2016新款无袖连衣裙夏季修身背心裙韩版鱼尾裙赫本小黑裙显瘦裙子,月想容旗舰店,118.00,,154笔,59,4.8,4.8,4.8,"
廓形: X型
材质成分: 聚酯纤维97% 聚对苯二甲酸乙二酯(涤纶)3%
销售渠道类型: 纯电商(只在线上销售)
货号: ES-933
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 荷叶边裙
图案: 纯色
流行元素/工艺: 蝴蝶结
品牌: 月想容
面料: 针织
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 黑色 黑色蝴蝶结
尺码: S M L XL XXL XXXL

","
卖家信息




						月想容旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：福州市 



","


宝贝与描述相符：
4.8分
										33.72%





4.8分
							共9777人
						



94.81%




2.23%




1.26%




0.51%




1.19%






卖家的服务态度：
4.8分
										36.69%





4.8分
							共9777人
						



92.44%




4.06%




1.37%




0.66%




1.46%






物流服务的质量：
4.8分
										33.66%





4.8分
							共9777人
						



92.18%




3.87%




1.58%




0.77%




1.62%




",
2016-08-13,12:45:48,531614399565,2016夏装新款女装韩版两件套雪纺时尚套装连衣裙吊带长裙印花裙子,摩致旗舰店,158.00,,154笔,87,4.8,4.7,4.7,"
材质成分: 其他100%
销售渠道类型: 纯电商(只在线上销售)
货号: MZ633
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 一步裙
图案: 纯色
流行元素/工艺: 工艺
品牌: AAVVMODERN/摩致
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 图片色
尺码: S M L XL XXL 3XL

","
卖家信息




						摩致旗舰店
												


当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共4773人
						



91.85%




3.73%




1.97%




0.78%




1.68%






卖家的服务态度：
4.7分
										8.45%





4.7分
							共4773人
						



89.84%




4.69%




2.24%




0.90%




2.33%






物流服务的质量：
4.7分
										14.49%





4.7分
							共4773人
						



89.99%




4.82%




2.20%




0.86%




2.14%




","
""tags"":{""dimenSum"":10,""rateSum"":145,""tagClouds"":[{""count"":33,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":24,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":17,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":14,""id"":""422"",""posi"":true,""tag"":""款式漂亮"",""weight"":0},{""count"":13,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":12,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":12,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0},{""count"":9,""id"":""322"",""posi"":true,""tag"":""颜色很好"",""weight"":0},{""count"":6,""id"":""520"",""posi"":true,""tag"":""实惠"",""weight"":0},{""count"":5,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0}]}"
2016-08-13,12:45:48,524198557957,RICHCOCO性感深V领清新树叶印花修身高腰系带短袖A字连衣裙女夏,richcoco旗舰店,69.00,,154笔,183,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
货号: E247
风格: 街头
街头: 欧美
组合形式: 单件
裙长: 短裙
袖长: 短袖
领型: V领
裙型: A字裙
流行元素/工艺: 系带 印花
品牌: RichCoco
适用年龄: 18-24周岁
年份季节: 2015年秋季
颜色分类: 绿色
尺码: XS S M L XL XXL

","
卖家信息




						richcoco旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：南通市 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共4773人
						



91.85%




3.73%




1.97%




0.78%




1.68%






卖家的服务态度：
4.7分
										8.45%





4.7分
							共4773人
						



89.84%




4.69%




2.24%




0.90%




2.33%






物流服务的质量：
4.7分
										14.49%





4.7分
							共4773人
						



89.99%




4.82%




2.20%




0.86%




2.14%




","
""tags"":{""dimenSum"":10,""rateSum"":152,""tagClouds"":[{""count"":36,""id"":""620"",""posi"":true,""tag"":""衣服不错"",""weight"":0},{""count"":32,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":24,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":13,""id"":""520"",""posi"":true,""tag"":""很划算"",""weight"":0},{""count"":11,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":10,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":9,""id"":""322"",""posi"":true,""tag"":""颜色很好"",""weight"":0},{""count"":7,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":5,""id"":""10420"",""posi"":true,""tag"":""发货快"",""weight"":0},{""count"":5,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0}]}"
