presentDay,presentTime,itrm_id,goodsName,shopName,price,price_ave,monthly_sales,comments,miaoshu,fuwu,wuliu,productDescription,seller,info,remarks
2016-08-13,10:56:28,535916643369,乐町2016秋装新款女装潮吊带露肩无袖连衣裙韩版小清新中长款裙子,乐町官方旗舰店,179.00,,349笔,69,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
销售渠道类型: 天猫独家(只在天猫销售)
货号: CWFA63407
风格: 甜美
甜美: 日系
组合形式: 单件
裙长: 短裙
款式: 吊带
袖长: 无袖
腰型: 宽松腰
衣门襟: 套头
裙型: 其他
图案: 纯色
品牌: 乐町
适用年龄: 18-24周岁
年份季节: 2016年秋季
颜色分类: 墨绿 粉色
尺码: 155/S 160/M 165/L

","
卖家信息




						乐町官方旗舰店
												
6
天猫6年店




当前主营： 服饰鞋包
所在地区：宁波 
服务电话：4009678988



","


宝贝与描述相符：
4.8分
										30.54%





4.8分
							共236069人
						



92.69%




4.76%




1.51%




0.40%




0.64%






卖家的服务态度：
4.8分
										46.59%





4.8分
							共236069人
						



91.77%




5.86%




1.35%




0.30%




0.73%






物流服务的质量：
4.8分
										53.35%





4.8分
							共236069人
						



92.63%




5.25%




1.19%




0.27%




0.67%




","
""tags"":{""dimenSum"":7,""rateSum"":55,""tagClouds"":[{""count"":11,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":9,""id"":""620"",""posi"":true,""tag"":""整体不错"",""weight"":0},{""count"":9,""id"":""322"",""posi"":true,""tag"":""颜色很好"",""weight"":0},{""count"":8,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":7,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":6,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":5,""id"":""422"",""posi"":true,""tag"":""款式漂亮"",""weight"":0}]}"
2016-08-13,10:56:28,528131308873,夏季女装修身显瘦黑色V领OL韩版职业连衣裙女短袖工装工作服中裙,冰子云旗舰店,138.00,,349笔,206,4.8,4.7,4.7,"
廓形: H型
材质成分: 聚酯纤维93.2% 聚氨酯弹性纤维(氨纶)6.8%
销售渠道类型: 纯电商(只在线上销售)
货号: YF1697
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 其他
袖型: 泡泡袖
腰型: 中腰
衣门襟: 套头
裙型: 荷叶边裙
图案: 纯色
流行元素/工艺: 荷叶边 抽褶 拼接 立体装饰 不对称 拉链
品牌: 冰子云
面料: 其他
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 黑色连衣裙赠腰带 浅蓝色连衣裙赠腰带 宝蓝色连衣裙赠腰带
尺码: S M L XL XXL XXXL

","
卖家信息




						冰子云旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：东莞市 



","


宝贝与描述相符：
4.8分
										30.54%





4.8分
							共236069人
						



92.69%




4.76%




1.51%




0.40%




0.64%






卖家的服务态度：
4.8分
										46.59%





4.8分
							共236069人
						



91.77%




5.86%




1.35%




0.30%




0.73%






物流服务的质量：
4.8分
										53.35%





4.8分
							共236069人
						



92.63%




5.25%




1.19%




0.27%




0.67%




","
""tags"":{""dimenSum"":9,""rateSum"":247,""tagClouds"":[{""count"":61,""id"":""620"",""posi"":true,""tag"":""衣服不错"",""weight"":0},{""count"":57,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":30,""id"":""522"",""posi"":true,""tag"":""板型很好"",""weight"":0},{""count"":27,""id"":""222"",""posi"":true,""tag"":""码子很准"",""weight"":0},{""count"":22,""id"":""1722"",""posi"":true,""tag"":""很舒服"",""weight"":0},{""count"":16,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":15,""id"":""122"",""posi"":true,""tag"":""面料好"",""weight"":0},{""count"":12,""id"":""422"",""posi"":true,""tag"":""款式好"",""weight"":0},{""count"":7,""id"":""1022"",""posi"":true,""tag"":""上身还不错"",""weight"":0}]}"
2016-08-13,10:56:28,39522760722,zqqz真丝连衣裙夏2016 新款短袖印花气质高档桑蚕丝连衣裙1303,zqqz旗舰店,389.00,,348笔,475,4.8,4.8,4.8,"
材质成分: 桑蚕丝100%
货号: Z14XN26
风格: 通勤
通勤: 淑女
组合形式: 单件
裙长: 中裙
款式: 裹胸
袖长: 短袖
领型: V领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 褶皱 印花
品牌: zqqz
面料: 绸缎
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 向日葵 蓝色海洋
尺码: S M L XL 2XL

","
卖家信息




						zqqz旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：嘉兴市 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共4461人
						



90.65%




4.77%




2.26%




0.74%




1.57%






卖家的服务态度：
4.8分
										17.93%





4.8分
							共4461人
						



89.20%




6.46%




2.04%




0.78%




1.52%






物流服务的质量：
4.8分
										16.71%





4.8分
							共4461人
						



89.11%




6.21%




2.04%




1.05%




1.59%




","
""tags"":{""dimenSum"":10,""rateSum"":423,""tagClouds"":[{""count"":86,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":71,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":55,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":43,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":38,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":37,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":34,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":23,""id"":""322"",""posi"":true,""tag"":""颜色很美"",""weight"":0},{""count"":18,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":18,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0}]}"
2016-08-13,10:56:28,534926709828,ZARA 女装 绉绸连衣裙 00787230600,ZARA官方旗舰店,299.00,,348笔,36,4.8,4.8,4.8,"
材质成分: 聚酯纤维97% 聚氨酯弹性纤维(氨纶)3%
销售渠道类型: 商场同款(线上线下都销售)
货号: 00787230600-19
风格: 通勤
通勤: 简约
组合形式: 单件
裙长: 短裙
袖长: 短袖
领型: 圆领
衣门襟: 套头
图案: 纯色
流行元素/工艺: 褶皱 螺纹
品牌: ZARA
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 红色
尺码: XS (160/80A) S (165/84A) M (170/88A) L (175/96A)

","
卖家信息




						zara官方旗舰店
												


当前主营： 服饰鞋包
所在地区：上海 



","


宝贝与描述相符：
4.8分
										29.92%





4.8分
							共763269人
						



93.57%




3.63%




1.39%




0.39%




1.02%






卖家的服务态度：
4.8分
										41.98%





4.8分
							共763269人
						



92.15%




5.05%




1.24%




0.35%




1.21%






物流服务的质量：
4.8分
										54.31%





4.8分
							共763269人
						



93.41%




4.42%




0.97%




0.26%




0.93%




","
""tags"":{""dimenSum"":0,""rateSum"":0,""tagClouds"":[]}"
2016-08-13,10:56:28,534701102114,长袖连衣裙2016春秋季女装新款潮修身显瘦荷叶袖娃娃领针织中长款,苏醒的乐园旗舰店,189.00,,348笔,103,4.8,4.7,4.7,"
材质成分: 聚酯纤维72.7% 粘胶纤维(粘纤)24.2% 聚氨酯弹性纤维(氨纶)3.1%
销售渠道类型: 纯电商(只在线上销售)
货号: LA16587
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
袖长: 长袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
品牌: 苏醒的乐园
适用年龄: 25-29周岁
年份季节: 2016年秋季
颜色分类: 藏青色(预售8.15) 酒红色
尺码: XS S M L XL

","
卖家信息




						苏醒的乐园旗舰店
												
6
天猫6年店




当前主营： 服饰鞋包
所在地区：上海 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共41419人
						



89.66%




5.83%




2.28%




0.75%




1.49%






卖家的服务态度：
4.7分
										8.18%





4.7分
							共41419人
						



87.54%




7.82%




2.23%




0.69%




1.72%






物流服务的质量：
4.7分
										15.35%





4.7分
							共41419人
						



87.95%




7.68%




2.20%




0.60%




1.56%




","
""tags"":{""dimenSum"":0,""rateSum"":0,""tagClouds"":[]}"
2016-08-13,10:56:28,531346082418,2016夏季新款OL短袖圆领修身碎花桑蚕丝修身中长款印花真丝连衣裙,尘埃之家旗舰店,398.00,,348笔,192,4.7,4.7,4.7,"
材质成分: 桑蚕丝100%
货号: F16
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 碎花
流行元素/工艺: 镂空 拉链 印花
品牌: 尘埃之家
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 短袖-花色
尺码: S M L XL XXL

","
卖家信息




						尘埃之家旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：温州市 



","


宝贝与描述相符：
4.7分
										0.96%





4.7分
							共5265人
						



89.23%




5.51%




2.22%




0.85%




2.18%






卖家的服务态度：
4.7分
										----





4.7分
							共5265人
						



87.05%




7.31%




2.05%




1.03%




2.56%






物流服务的质量：
4.7分
										3.72%





4.7分
							共5265人
						



87.88%




6.91%




1.96%




0.91%




2.34%




","
""tags"":{""dimenSum"":9,""rateSum"":241,""tagClouds"":[{""count"":50,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":44,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":42,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":30,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":25,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":17,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":17,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0},{""count"":10,""id"":""422"",""posi"":true,""tag"":""款式很好"",""weight"":0},{""count"":6,""id"":""322"",""posi"":true,""tag"":""颜色很美"",""weight"":0}]}"
2016-08-13,10:56:28,525997580402,用券满500减50元 ONLY春夏新品圆领高腰A字连衣裙女L|116107025,ONLY官方旗舰店,249.50,,348笔,395,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
销售渠道类型: 商场同款(线上线下都销售)
货号: 116107025
风格: 街头
街头: 欧美
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 七分袖
领型: 圆领
袖型: 泡泡袖
腰型: 高腰
衣门襟: 套头
裙型: A字裙
图案: 花色
流行元素/工艺: 褶皱
品牌: ONLY
面料: 其他
适用年龄: 18-24周岁
年份季节: 2016年春季
颜色分类: 黑红 绿色 Green 彩花1
尺码: 155/76A/XS 160/80A/S 165/84A/M 170/88A/L 175/92A/XL 175/96A/XXL

","
卖家信息




						only官方旗舰店
												
7
天猫7年店




当前主营： 服饰鞋包
所在地区：天津 



","


宝贝与描述相符：
4.8分
										20.87%





4.8分
							共411663人
						



92.52%




4.44%




1.50%




0.44%




1.10%






卖家的服务态度：
4.8分
										28.52%





4.8分
							共411663人
						



90.28%




6.25%




1.58%




0.45%




1.45%






物流服务的质量：
4.8分
										35.73%





4.8分
							共411663人
						



90.79%




6.05%




1.50%




0.41%




1.25%




","
""tags"":{""dimenSum"":10,""rateSum"":329,""tagClouds"":[{""count"":79,""id"":""522"",""posi"":true,""tag"":""板型很好"",""weight"":0},{""count"":56,""id"":""620"",""posi"":true,""tag"":""质量好"",""weight"":0},{""count"":56,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":43,""id"":""622"",""posi"":true,""tag"":""挺厚实的"",""weight"":0},{""count"":24,""id"":""222"",""posi"":true,""tag"":""码子很准"",""weight"":0},{""count"":18,""id"":""322"",""posi"":true,""tag"":""颜色很美"",""weight"":0},{""count"":17,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0},{""count"":16,""id"":""10120"",""posi"":true,""tag"":""服务好"",""weight"":0},{""count"":10,""id"":""422"",""posi"":true,""tag"":""款式蛮好"",""weight"":0},{""count"":10,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0}]}"
2016-08-13,10:56:28,529717495962,ANNAKRO/安娜蔻2016女装夏新款修身印花烫钻褶皱垂领短袖连衣裙,玖姿官方旗舰店,1780.00,,348笔,133,4.9,4.9,4.9,"
材质成分: 聚酯纤维92.1% 聚氨酯弹性纤维(氨纶)7.9%
货号: KWUX50002
风格: 通勤
通勤: OL风格
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
腰型: 中腰
衣门襟: 套头
品牌: ANNAKRO/安娜蔻
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 花橙黄
尺码: 2/S 3/M 4/L 5/XL 6/XXL 7/XXXL

","
卖家信息




						玖姿官方旗舰店
												
5
天猫5年店




当前主营： 服饰鞋包
所在地区：嘉兴 



","


宝贝与描述相符：
4.9分
										55.09%





4.9分
							共43617人
						



95.02%




3.57%




0.77%




0.19%




0.45%






卖家的服务态度：
4.9分
										62.57%





4.9分
							共43617人
						



93.98%




4.58%




0.73%




0.20%




0.50%






物流服务的质量：
4.9分
										66.18%





4.9分
							共43617人
						



94.30%




4.40%




0.70%




0.17%




0.44%




","
""tags"":{""dimenSum"":10,""rateSum"":154,""tagClouds"":[{""count"":33,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":25,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":24,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":18,""id"":""722"",""posi"":true,""tag"":""衣衣是正品"",""weight"":0},{""count"":11,""id"":""520"",""posi"":true,""tag"":""很划算"",""weight"":0},{""count"":9,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0},{""count"":9,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0},{""count"":9,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":8,""id"":""720"",""posi"":true,""tag"":""与描述相符"",""weight"":0},{""count"":8,""id"":""622"",""posi"":true,""tag"":""挺厚实的"",""weight"":0}]}"
2016-08-13,10:56:28,534722089390,方圆佳人2016夏季新款短袖修身裙子纯棉麻连衣裙夏文艺复古中长裙,方圆佳人旗舰店,158.00,,348笔,67,4.7,4.8,4.8,"
廓形: A型
材质成分: 棉100%
货号: FY5513
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 花色
流行元素/工艺: 褶皱 印花
品牌: 方圆佳人
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白色 酒红 蓝色
尺码: M L XL 2XL

","
卖家信息




						方圆佳人旗舰店
												


当前主营： 服饰鞋包
所在地区：杭州 



","


宝贝与描述相符：
4.7分
										0.91%





4.7分
							共2841人
						



89.05%




5.67%




2.39%




0.95%




1.94%






卖家的服务态度：
4.8分
										18.00%





4.8分
							共2841人
						



89.26%




6.62%




1.62%




0.88%




1.62%






物流服务的质量：
4.8分
										27.65%





4.8分
							共2841人
						



89.58%




6.93%




1.48%




0.70%




1.30%




","
""tags"":{""dimenSum"":9,""rateSum"":96,""tagClouds"":[{""count"":22,""id"":""620"",""posi"":true,""tag"":""宝贝很赞"",""weight"":0},{""count"":18,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0},{""count"":16,""id"":""522"",""posi"":true,""tag"":""版型好看"",""weight"":0},{""count"":9,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":8,""id"":""10120"",""posi"":true,""tag"":""服务好"",""weight"":0},{""count"":8,""id"":""122"",""posi"":true,""tag"":""料子不错"",""weight"":0},{""count"":7,""id"":""222"",""posi"":true,""tag"":""衣服很合身"",""weight"":0},{""count"":5,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":3,""id"":""720"",""posi"":true,""tag"":""与描述相符"",""weight"":0}]}"
2016-08-13,10:56:28,530836934360,中年女装夏装2016新款潮蕾丝连衣裙夏中长款韩版妈妈裙子30-40岁,情梦姿旗舰店,148.00,,348笔,384,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: BH03511233
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 其他
裙型: A字裙
图案: 花色
流行元素/工艺: 镂空 勾花镂空 拼接 纱网 蕾丝 印花
品牌: 情梦姿
面料: 蕾丝
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 红色 蓝色 图片色1681
尺码: M L XL XXL XXXL XXXXL

","
卖家信息




						情梦姿旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：广州市 



","


宝贝与描述相符：
4.8分
										30.63%





4.8分
							共7322人
						



94.56%




2.25%




1.46%




0.52%




1.20%






卖家的服务态度：
4.8分
										38.20%





4.8分
							共7322人
						



92.56%




3.84%




1.69%




0.57%




1.34%






物流服务的质量：
4.8分
										41.10%





4.8分
							共7322人
						



92.94%




3.40%




1.72%




0.59%




1.35%




","
""tags"":{""dimenSum"":10,""rateSum"":559,""tagClouds"":[{""count"":141,""id"":""620"",""posi"":true,""tag"":""质量好"",""weight"":0},{""count"":95,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":84,""id"":""522"",""posi"":true,""tag"":""版型漂亮"",""weight"":0},{""count"":73,""id"":""222"",""posi"":true,""tag"":""大小合适"",""weight"":0},{""count"":55,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":50,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":19,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0},{""count"":16,""id"":""422"",""posi"":true,""tag"":""款式蛮好"",""weight"":0},{""count"":13,""id"":""322"",""posi"":true,""tag"":""色彩很好"",""weight"":0},{""count"":13,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0}]}"
