presentDay,presentTime,itrm_id,goodsName,shopName,price,price_ave,monthly_sales,comments,miaoshu,fuwu,wuliu,productDescription,seller,info,remarks
2016-08-13,10:56:30,521526408830,ONE MORE文墨2016早春装新款后背v领修身无袖打底秋季连衣裙a字裙,onemore官方旗舰店,119.10,,200笔,227,4.8,4.8,4.8,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: ML1430515
风格: 通勤
通勤: 简约
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 其他
腰型: 高腰
衣门襟: 其他
裙型: A字裙
图案: 纯色
流行元素/工艺: 亮花
品牌: one more
适用年龄: 25-29周岁
年份季节: 2016年春季
颜色分类: 黑色
尺码: 155/80A/XS 160/84A/S 165/88A/M 170/92A/L

","
卖家信息




						onemore官方旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：宁波 



","


宝贝与描述相符：
4.8分
										9.88%





4.8分
							共65550人
						



91.39%




5.00%




1.95%




0.53%




1.12%






卖家的服务态度：
4.8分
										33.38%





4.8分
							共65551人
						



90.60%




6.21%




1.58%




0.40%




1.21%






物流服务的质量：
4.8分
										37.75%





4.8分
							共65551人
						



90.88%




6.06%




1.55%




0.41%




1.11%




","
""tags"":{""dimenSum"":0,""rateSum"":0,""tagClouds"":[]}"
2016-08-13,10:56:30,536104012188,dfvc2016秋装新款女装欧美蕾丝刺绣A字裙镂空喇叭袖宽松连衣裙,dfvc旗舰店,478.00,,199笔,14,4.8,4.8,4.8,"
廓形: A型
材质成分: 聚酰胺纤维(锦纶)55% 棉45%
销售渠道类型: 纯电商(只在线上销售)
货号: DV16FW3028
风格: 街头
街头: 欧美
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 七分袖
领型: 圆领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: A字裙
图案: 花色
流行元素/工艺: 绣花
品牌: dfvc
适用年龄: 35-39周岁
年份季节: 2016年秋季
颜色分类: 灰色
尺码: M L XL

","
卖家信息




						dfvc旗舰店
												


当前主营： 服饰鞋包
所在地区：深圳市 



","


宝贝与描述相符：
4.8分
										18.43%





4.8分
							共9079人
						



92.36%




4.42%




1.61%




0.54%




1.08%






卖家的服务态度：
4.8分
										40.29%





4.8分
							共9078人
						



91.74%




5.44%




1.22%




0.46%




1.13%






物流服务的质量：
4.8分
										41.89%





4.8分
							共9078人
						



91.50%




5.65%




1.41%




0.42%




1.02%




","
""tags"":{""dimenSum"":0,""rateSum"":0,""tagClouds"":[]}"
2016-08-13,10:56:30,531234154372,C＆A女式印花露肩束腰连衣裙 2016夏季新款雪纺X型裙CA200174566,ca官方旗舰店,191.00,,199笔,48,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
销售渠道类型: 商场同款(线上线下都销售)
货号: 200174566
裙长: 短裙
品牌: C&A
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 混色002
尺码: XS S M L XL

","
卖家信息




						ca官方旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：上海市 



","


宝贝与描述相符：
4.8分
										29.03%





4.8分
							共156614人
						



92.69%




4.68%




1.52%




0.36%




0.75%






卖家的服务态度：
4.8分
										41.45%





4.8分
							共156614人
						



90.95%




6.52%




1.40%




0.30%




0.83%






物流服务的质量：
4.8分
										42.51%





4.8分
							共156614人
						



90.93%




6.44%




1.48%




0.32%




0.83%




","
""tags"":{""dimenSum"":4,""rateSum"":34,""tagClouds"":[{""count"":13,""id"":""522"",""posi"":true,""tag"":""版型漂亮"",""weight"":0},{""count"":12,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":5,""id"":""620"",""posi"":true,""tag"":""宝贝很赞"",""weight"":0},{""count"":4,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0}]}"
2016-08-13,10:56:30,530836036087,韩语琳空间2016夏季新款女装性感镂空开衩包臀露背连衣裙 长裙,韩语琳空间服饰旗舰店,186.00,,199笔,300,4.8,4.7,4.7,"
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: TL5115
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 其他
腰型: 高腰
衣门襟: 套头
裙型: 一步裙
图案: 纯色
流行元素/工艺: 镂空 露背 不对称 拉链
品牌: 韩语琳空间
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 橘红色 黄色
尺码: S M L

","
卖家信息




						韩语琳空间服饰旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：广州市 



","


宝贝与描述相符：
4.8分
										22.99%





4.8分
							共90839人
						



93.27%




3.39%




1.65%




0.64%




1.05%






卖家的服务态度：
4.7分
										9.96%





4.7分
							共90839人
						



88.42%




6.51%




2.51%




0.94%




1.62%






物流服务的质量：
4.7分
										13.92%





4.7分
							共90839人
						



88.79%




6.18%




2.45%




0.92%




1.66%




",
2016-08-13,10:56:30,534920141814,烟花烫ZY2016夏秋新品原创女装优雅复古显瘦蕾丝连衣裙 吸引力,烟花烫服饰旗舰店,308.00,,199笔,30,4.8,4.8,4.8,,"
卖家信息




						烟花烫服饰旗舰店
												
5
天猫5年店




当前主营： 服饰鞋包
所在地区：郑州 



","


宝贝与描述相符：
4.8分
										25.64%





4.8分
							共97229人
						



92.68%




4.40%




1.61%




0.47%




0.83%






卖家的服务态度：
4.8分
										35.97%





4.8分
							共97229人
						



91.07%




5.66%




1.71%




0.52%




1.05%






物流服务的质量：
4.8分
										38.80%





4.8分
							共97229人
						



91.33%




5.42%




1.65%




0.56%




1.04%




","
""tags"":{""dimenSum"":9,""rateSum"":41,""tagClouds"":[{""count"":10,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":7,""id"":""620"",""posi"":true,""tag"":""质量不错"",""weight"":0},{""count"":4,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0},{""count"":4,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":4,""id"":""10120"",""posi"":true,""tag"":""服务好"",""weight"":0},{""count"":3,""id"":""322"",""posi"":true,""tag"":""颜色很美"",""weight"":0},{""count"":3,""id"":""10420"",""posi"":true,""tag"":""发货快"",""weight"":0},{""count"":3,""id"":""922"",""posi"":true,""tag"":""做工不错"",""weight"":0},{""count"":3,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0}]}"
2016-08-13,10:56:30,530376038749,帝柔印花雪纺连衣裙夏 中长款2016夏季新款女装拼接宽松裙子圆领,帝柔北京专卖店,296.00,,199笔,201,4.8,4.8,4.7,"
廓形: X型
材质成分: 聚酯纤维100%
货号: DR16040
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 七分袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 拉链
裙型: 大摆型
图案: 花色
流行元素/工艺: 蝴蝶结 荷叶边 抽褶 褶皱 系带 拼接 拉链 印花
品牌: 帝柔
面料: 雪纺
适用年龄: 30-34周岁
年份季节: 2016年夏季
颜色分类: 中袖 短袖
尺码: S M L XL 2XL 3XL

","
卖家信息




						帝柔北京专卖店
												
6
天猫6年店




当前主营： 服饰鞋包
所在地区：北京 



","


宝贝与描述相符：
4.8分
										----





4.8分
							共4026人
						



90.56%




5.56%




1.89%




0.52%




1.47%






卖家的服务态度：
4.8分
										13.90%





4.8分
							共4026人
						



88.97%




6.43%




2.04%




0.82%




1.74%






物流服务的质量：
4.7分
										15.54%





4.7分
							共4026人
						



88.85%




6.36%




2.26%




0.92%




1.61%




","
""tags"":{""dimenSum"":9,""rateSum"":176,""tagClouds"":[{""count"":51,""id"":""620"",""posi"":true,""tag"":""衣服不错"",""weight"":0},{""count"":24,""id"":""1822"",""posi"":true,""tag"":""穿着美"",""weight"":0},{""count"":19,""id"":""522"",""posi"":true,""tag"":""外形好看"",""weight"":0},{""count"":18,""id"":""222"",""posi"":true,""tag"":""码数很准"",""weight"":0},{""count"":17,""id"":""420"",""posi"":true,""tag"":""快递不错"",""weight"":0},{""count"":15,""id"":""10120"",""posi"":true,""tag"":""态度不错"",""weight"":0},{""count"":13,""id"":""1120"",""posi"":true,""tag"":""人群"",""weight"":0},{""count"":11,""id"":""622"",""posi"":true,""tag"":""衣服厚实"",""weight"":0},{""count"":8,""id"":""520"",""posi"":true,""tag"":""很便宜"",""weight"":0}]}"
2016-08-13,10:56:30,534531427144,阿依莉2016夏季新款女装气质淑女无袖纯色连衣裙修身裙子显瘦中裙,阿依莉旗舰店,168.00,,199笔,47,4.8,4.8,4.8,"
材质成分: 聚酯纤维100%
货号: AYL835902
风格: 通勤
通勤: 淑女
组合形式: 单件
裙长: 中裙
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
品牌: 阿依莉
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 粉色 灰色 黑色
尺码: M L XL XXL

","
卖家信息




						阿依莉旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：杭州市 



","


宝贝与描述相符：
4.8分
										22.85%





4.8分
							共31725人
						



93.57%




2.98%




1.63%




0.69%




1.13%






卖家的服务态度：
4.8分
										27.93%





4.8分
							共31726人
						



90.57%




5.46%




1.97%




0.74%




1.26%






物流服务的质量：
4.8分
										28.84%





4.8分
							共31726人
						



90.59%




5.20%




2.16%




0.79%




1.26%




","
""tags"":{""dimenSum"":10,""rateSum"":74,""tagClouds"":[{""count"":12,""id"":""620"",""posi"":true,""tag"":""宝贝很赞"",""weight"":0},{""count"":12,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":9,""id"":""222"",""posi"":true,""tag"":""尺寸很准"",""weight"":0},{""count"":9,""id"":""522"",""posi"":true,""tag"":""版型好"",""weight"":0},{""count"":7,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":6,""id"":""422"",""posi"":true,""tag"":""款式好看"",""weight"":0},{""count"":6,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0},{""count"":5,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0},{""count"":4,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0},{""count"":4,""id"":""10120"",""posi"":true,""tag"":""服务不错"",""weight"":0}]}"
2016-08-13,10:56:30,534886181111,依伊芭莎2016韩版夏小清新爱心桃连衣裙 无袖雪纺背心裙绑带A字裙,依伊芭莎旗舰店,149.00,,199笔,58,4.8,4.8,4.8,"
廓形: A型
材质成分: 聚对苯二甲酸乙二酯(涤纶)100%
销售渠道类型: 纯电商(只在线上销售)
货号: Y757
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 无袖
领型: 圆领
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 其他
流行元素/工艺: 褶皱 绑带
品牌: 依伊·芭莎
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 红色
尺码: S M L

","
卖家信息




						依伊芭莎旗舰店
												


当前主营： 服饰鞋包
所在地区：广州市 



","


宝贝与描述相符：
4.8分
										22.72%





4.8分
							共30173人
						



92.41%




4.51%




1.73%




0.50%




0.85%






卖家的服务态度：
4.8分
										36.64%





4.8分
							共30173人
						



90.75%




6.10%




1.80%




0.44%




0.91%






物流服务的质量：
4.8分
										35.67%





4.8分
							共30173人
						



90.58%




6.04%




1.86%




0.52%




0.99%




","
""tags"":{""dimenSum"":10,""rateSum"":93,""tagClouds"":[{""count"":24,""id"":""620"",""posi"":true,""tag"":""质量蛮好"",""weight"":0},{""count"":15,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":12,""id"":""1822"",""posi"":true,""tag"":""穿着效果好"",""weight"":0},{""count"":8,""id"":""1722"",""posi"":true,""tag"":""衣服很舒服"",""weight"":0},{""count"":6,""id"":""322"",""posi"":true,""tag"":""颜色挺正"",""weight"":0},{""count"":6,""id"":""10120"",""posi"":true,""tag"":""服务态度好"",""weight"":0},{""count"":6,""id"":""420"",""posi"":true,""tag"":""快递不错"",""weight"":0},{""count"":6,""id"":""520"",""posi"":true,""tag"":""便宜"",""weight"":0},{""count"":5,""id"":""422"",""posi"":true,""tag"":""款式很潮"",""weight"":0},{""count"":5,""id"":""222"",""posi"":true,""tag"":""尺码很准"",""weight"":0}]}"
2016-08-13,10:56:30,534593574298,女装2016夏装新品雪纺连衣裙女韩版修身显瘦a字裙短袖圆领裙子,玫兰妮旗舰店,188.00,,199笔,65,4.8,4.7,4.7,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: 16B55
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 褶皱
品牌: 玫兰妮
适用年龄: 40-49周岁
年份季节: 2016年夏季
颜色分类: 桔色 紫色 绛色
尺码: M L XL 2XL 3XL

","
卖家信息




						玫兰妮旗舰店
												
3
天猫3年店




当前主营： 服饰鞋包
所在地区：武汉市 



","


宝贝与描述相符：
4.8分
										6.47%





4.8分
							共32409人
						



92.06%




3.87%




1.95%




0.69%




1.43%






卖家的服务态度：
4.7分
										8.74%





4.7分
							共32409人
						



88.32%




6.58%




2.49%




0.86%




1.74%






物流服务的质量：
4.7分
										4.62%





4.7分
							共32409人
						



87.87%




6.48%




2.69%




1.01%




1.95%




","
""tags"":{""dimenSum"":6,""rateSum"":46,""tagClouds"":[{""count"":11,""id"":""620"",""posi"":true,""tag"":""宝贝很赞"",""weight"":0},{""count"":11,""id"":""522"",""posi"":true,""tag"":""板型很好"",""weight"":0},{""count"":9,""id"":""222"",""posi"":true,""tag"":""码子很准"",""weight"":0},{""count"":7,""id"":""1822"",""posi"":true,""tag"":""穿着漂亮"",""weight"":0},{""count"":4,""id"":""420"",""posi"":true,""tag"":""物流快"",""weight"":0},{""count"":4,""id"":""1722"",""posi"":true,""tag"":""很舒适"",""weight"":0}]}"
2016-08-13,10:56:30,530666761928,夏天夏季中袖衬衫连衣裙夏2016夏装女装新款潮衣服女裙子雪纺长裙,arteyes艺艾旗舰店,118.00,,199笔,217,4.8,4.8,4.8,"
廓形: H型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: YGTA8833
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 五分袖
领型: 圆领
袖型: 其他
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 纯色
流行元素/工艺: 系带 拼接
品牌: Arteyes/艺艾
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 红色 黑色
尺码: M L XL XXL XXXL XXXXL

","
卖家信息




						arteyes艺艾旗舰店
												
4
天猫4年店




当前主营： 服饰鞋包
所在地区：龙岩 



","


宝贝与描述相符：
4.8分
										19.99%





4.8分
							共15634人
						



93.89%




2.38%




1.61%




0.76%




1.36%






卖家的服务态度：
4.8分
										29.28%





4.8分
							共15634人
						



91.63%




4.08%




2.04%




0.78%




1.46%






物流服务的质量：
4.8分
										36.52%





4.8分
							共15634人
						



92.19%




3.88%




1.85%




0.80%




1.28%




","
""tags"":{""dimenSum"":10,""rateSum"":347,""tagClouds"":[{""count"":79,""id"":""620"",""posi"":true,""tag"":""质量好"",""weight"":0},{""count"":48,""id"":""522"",""posi"":true,""tag"":""版式好"",""weight"":0},{""count"":41,""id"":""1822"",""posi"":true,""tag"":""穿上好看"",""weight"":0},{""count"":41,""id"":""1722"",""posi"":true,""tag"":""衣衣很舒服"",""weight"":0},{""count"":36,""id"":""322"",""posi"":true,""tag"":""色彩很好"",""weight"":0},{""count"":26,""id"":""422"",""posi"":true,""tag"":""款式蛮好"",""weight"":0},{""count"":22,""id"":""222"",""posi"":true,""tag"":""尺码很准"",""weight"":0},{""count"":19,""id"":""11220"",""posi"":true,""tag"":""没有色差"",""weight"":0},{""count"":19,""id"":""122"",""posi"":true,""tag"":""料子好"",""weight"":0},{""count"":16,""id"":""922"",""posi"":true,""tag"":""做工好"",""weight"":0}]}"
