ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1296778,一树梨花压海棠,法国,阿德里安·莱恩,杰瑞米·艾恩斯|梅兰尼·格里菲斯|弗兰克·兰格拉|多米尼克·斯万|苏珊妮·谢泼德,爱情|剧情|情色,经典|文艺,8.1,1.3894683451039729
1296987,安妮·霍尔,美国,伍迪·艾伦,伍迪·艾伦|黛安·基顿|谢莉·杜瓦尔|保罗·西蒙|卡罗尔·凯恩,剧情|爱情|喜剧,经典|文艺,8.6,1.4690850246638034
1296992,洛丽塔,英国,斯坦利·库布里克,詹姆斯·梅森|谢利·温特斯|苏·莱恩|Jerry Stovin|黛安娜·戴克,爱情|剧情|情色,经典|文艺,7.7,1.3161764152959894
1296996,哈利·波特与密室,德国,克里斯·哥伦布,丹尼尔·雷德克里夫|艾玛·沃森|鲁伯特·格林特|汤姆·费尔顿|理查德·格雷弗斯,剧情|奇幻|悬疑|科幻|冒险,魔幻|经典|青春,8.3,1.2912483986450933
1297018,冒牌天神,美国,汤姆·沙迪亚克,金·凯瑞|摩根·弗里曼|詹妮弗·安妮斯顿|菲利普·贝克·霍尔|凯瑟琳·贝尔,爱情|剧情|喜剧|奇幻|科幻,搞笑|经典,7.5,1.2298468590636833
1297102,天生一对,印度,阿迪提亚·乔普拉,沙鲁克·汗|维奈帕·塔克|安努舒卡·莎玛|拉妮·玛克赫吉|卡卓儿,爱情|剧情|喜剧|音乐|歌舞,搞笑|感人|女性|经典,7.8,1.2434743456444375
1297131,圣诞夜惊魂,美国,亨利·塞利克,丹尼·艾夫曼|克里斯·萨兰登|凯瑟琳·欧哈拉|威廉·赫基|格伦·沙迪克斯,惊悚|剧情|歌舞|奇幻,经典,8.2,1.3732045074117007
1297151,星球大战3：绝地归来,美国,理查德·马昆德,马克·哈米尔|哈里森·福特|安东尼·丹尼尔斯|凯丽·费雪|比利·迪·威廉姆斯,战争|剧情|奇幻|科幻|冒险|动作,经典,8.3,1.3282138251561038
1297192,致命ID,美国,詹姆斯·曼高德,约翰·库萨克|雷·利奥塔|阿曼达·皮特|阿尔弗雷德·莫里纳|克里·杜瓦尔,剧情|犯罪|惊悚|恐怖|悬疑|动作,经典,8.7,1.4214870341579442
1297294,迷魂记,美国,阿尔弗雷德·希区柯克,詹姆斯·斯图尔特|金·诺瓦克|芭芭拉·贝尔·戈迪斯|汤姆·赫尔莫,爱情|犯罪|剧情|惊悚|悬疑,经典,8.5,1.3881935740190177
1297478,上帝也疯狂,美国,加美·尤伊斯,Marius|Weyers|历苏,剧情|喜剧,搞笑|经典,8.6,1.4680538928616482
1297544,国家公敌,美国,托尼·斯科特,威尔·史密斯|吉恩·哈克曼|强·沃特|莉莎·博内特|雷吉娜·金,剧情|犯罪|惊悚|悬疑|科幻|动作,经典,8.1,1.147829046825932
