"ID","NAME","ADD_TIME"
"1292052","肖申克的救赎","Fri Jan  5 11:35:04 2018"
"1292720","阿甘正传","Fri Jan  5 11:35:04 2018"
"3541415","盗梦空间","Fri Jan  5 11:35:04 2018"
"1292722","泰坦尼克号","Fri Jan  5 11:35:04 2018"
"1292001","海上钢琴师","Fri Jan  5 11:35:04 2018"
"1849031","当幸福来敲门","Fri Jan  5 11:35:04 2018"
"3319755","怦然心动","Fri Jan  5 11:35:04 2018"
"1292370","剪刀手爱德华","Fri Jan  5 11:35:04 2018"
"1292064","楚门的世界","Fri Jan  5 11:35:05 2018"
"1292223","七宗罪","Fri Jan  5 11:35:05 2018"
"25662329","疯狂动物城","Fri Jan  5 11:35:05 2018"
"1293839","罗马假日","Fri Jan  5 11:35:05 2018"
"1309046","V字仇杀队","Fri Jan  5 11:35:05 2018"
"1978709","黑天鹅","Fri Jan  5 11:35:05 2018"
"1295124","辛德勒的名单","Fri Jan  5 11:35:05 2018"
"2209573","贫民窟的百万富翁","Fri Jan  5 11:35:05 2018"
"1292343","蝴蝶效应","Fri Jan  5 11:35:05 2018"
"3075287","源代码","Fri Jan  5 11:35:05 2018"
"1293544","沉默的羔羊","Fri Jan  5 11:35:05 2018"
"1291841","教父","Fri Jan  5 11:35:05 2018"
"1292402","西西里的美丽传说","Fri Jan  5 11:35:06 2018"
"1298070","加勒比海盗","Fri Jan  5 11:35:06 2018"
"6786002","触不可及","Fri Jan  5 11:35:07 2018"
"2334904","禁闭岛","Fri Jan  5 11:35:07 2018"
"1907966","疯狂原始人","Fri Jan  5 11:35:07 2018"
"1291832","低俗小说","Fri Jan  5 11:35:07 2018"
"1298624","闻香识女人","Fri Jan  5 11:35:07 2018"
"1482072","穿普拉达的女王","Fri Jan  5 11:35:07 2018"
"1780330","致命魔术","Fri Jan  5 11:35:07 2018"
"1418834","断背山","Fri Jan  5 11:35:07 2018"
"4023638","国王的演讲","Fri Jan  5 11:35:07 2018"
"1851857","蝙蝠侠：黑暗骑士","Fri Jan  5 11:35:07 2018"
"1294639","勇敢的心","Fri Jan  5 11:35:07 2018"
"1306029","美丽心灵","Fri Jan  5 11:35:08 2018"
"1291571","指环王1：魔戒再现","Fri Jan  5 11:35:08 2018"
"21318488","消失的爱人","Fri Jan  5 11:35:08 2018"
"1418200","傲慢与偏见","Fri Jan  5 11:35:08 2018"
"1297192","致命ID","Fri Jan  5 11:35:08 2018"
"1301753","狮子王","Fri Jan  5 11:35:08 2018"
"1292401","真爱至上","Fri Jan  5 11:35:08 2018"
"1291552","指环王3：王者无敌","Fri Jan  5 11:35:10 2018"
"3011051","恐怖游轮","Fri Jan  5 11:35:10 2018"
"1291843","黑客帝国","Fri Jan  5 11:35:10 2018"
"1300267","乱世佳人","Fri Jan  5 11:35:10 2018"
"1292224","飞越疯人院","Fri Jan  5 11:35:10 2018"
"11525673","布达佩斯大饭店","Fri Jan  5 11:35:10 2018"
"1291572","指环王2：双塔奇兵","Fri Jan  5 11:35:10 2018"
"25934014","爱乐之城","Fri Jan  5 11:35:10 2018"
"1309163","恋恋笔记本","Fri Jan  5 11:35:10 2018"
"1291548","死亡诗社","Fri Jan  5 11:35:11 2018"
"2213597","朗读者","Fri Jan  5 11:35:11 2018"
"2268359","暮光之城","Fri Jan  5 11:35:11 2018"
"1304447","记忆碎片","Fri Jan  5 11:35:11 2018"
"1293350","两杆大烟枪","Fri Jan  5 11:35:11 2018"
"1292656","心灵捕手","Fri Jan  5 11:35:11 2018"
"1760622","香水","Fri Jan  5 11:35:11 2018"
"4202982","冰雪奇缘","Fri Jan  5 11:35:11 2018"
"2161696","他其实没那么喜欢你","Fri Jan  5 11:35:11 2018"
"1309199","史密斯夫妇","Fri Jan  5 11:35:11 2018"
"1295038","哈利·波特与魔法石","Fri Jan  5 11:35:11 2018"
"25864085","火星救援","Fri Jan  5 11:35:12 2018"
"3205624","社交网络","Fri Jan  5 11:35:12 2018"
"1291545","大鱼","Fri Jan  5 11:35:13 2018"
"1292849","拯救大兵瑞恩","Fri Jan  5 11:35:13 2018"
"1828115","色，戒","Fri Jan  5 11:35:13 2018"
"1294408","音乐之声","Fri Jan  5 11:35:13 2018"
"1794171","变形金刚","Fri Jan  5 11:35:13 2018"
"3364223","了不起的盖茨比","Fri Jan  5 11:35:13 2018"
"1305164","甜蜜蜜","Fri Jan  5 11:35:13 2018"
"6307447","被解救的姜戈","Fri Jan  5 11:35:13 2018"
"1292274","幸福终点站","Fri Jan  5 11:35:14 2018"
